episode,task,policy,outcome,frames,seconds,closures,closures_per_s,closed_frac
851,tool_insert,pi0,failure,654,32.7,2,0.0612,0.945
852,tool_insert,pi0,successful,260,13.0,3,0.2308,0.827
853,tool_insert,pi0,successful,300,15.0,3,0.2,0.84
854,tool_insert,pi0,successful,324,16.2,3,0.1852,0.821
855,tool_insert,pi0,failure,660,33.0,7,0.2121,0.573
856,tool_insert,pi0,failure,572,28.6,8,0.2797,0.659
857,tool_insert,pi0,suboptimal,562,28.1,3,0.1068,0.865
858,tool_insert,pi0,failure,657,32.9,4,0.1218,0.892
859,tool_insert,pi0,successful,365,18.2,3,0.1644,0.866
860,tool_insert,pi0,failure,649,32.5,6,0.1849,0.781
861,tool_insert,pi0,suboptimal,663,33.1,3,0.0905,0.938
862,tool_insert,pi0,failure,351,17.6,3,0.1709,0.863
863,tool_insert,pi0,successful,330,16.5,4,0.2424,0.785
864,tool_insert,pi0,failure,288,14.4,3,0.2083,0.882
865,tool_insert,pi0,failure,634,31.7,9,0.2839,0.576
866,tool_insert,pi0,suboptimal,604,30.2,8,0.2649,0.755
867,tool_insert,pi0,successful,338,16.9,3,0.1775,0.769
868,tool_insert,pi0,failure,610,30.5,6,0.1967,0.761
869,tool_insert,pi0,suboptimal,360,18.0,3,0.1667,0.794
870,tool_insert,pi0,failure,635,31.8,2,0.063,0.939
871,tool_insert,pi0,successful,331,16.6,3,0.1813,0.81
872,tool_insert,pi0,successful,296,14.8,3,0.2027,0.767
873,tool_insert,pi0,failure,644,32.2,7,0.2174,0.776
874,tool_insert,pi0,failure,644,32.2,4,0.1242,0.845
875,tool_insert,pi0,successful,368,18.4,3,0.163,0.427
876,tool_insert,pi0,successful,350,17.5,3,0.1714,0.809
877,tool_insert,pi0,successful,332,16.6,3,0.1807,0.738
878,tool_insert,pi0,failure,575,28.8,5,0.1739,0.774
879,tool_insert,pi0,successful,650,32.5,6,0.1846,0.855
880,tool_insert,pi0.5,successful,303,15.2,3,0.198,0.769
881,tool_insert,pi0.5,suboptimal,276,13.8,3,0.2174,0.746
882,tool_insert,pi0.5,failure,642,32.1,3,0.0935,0.885
883,tool_insert,pi0.5,successful,316,15.8,3,0.1899,0.816
884,tool_insert,pi0.5,suboptimal,661,33.0,6,0.1815,0.799
885,tool_insert,pi0.5,successful,310,15.5,4,0.2581,0.784
886,tool_insert,pi0.5,failure,634,31.7,5,0.1577,0.819
887,tool_insert,pi0.5,successful,300,15.0,4,0.2667,0.807
888,tool_insert,pi0.5,successful,333,16.6,3,0.1802,0.817
889,tool_insert,pi0.5,failure,653,32.6,8,0.245,0.749
890,tool_insert,pi0.5,successful,318,15.9,3,0.1887,0.799
891,tool_insert,pi0.5,successful,350,17.5,5,0.2857,0.823
892,tool_insert,pi0.5,successful,416,20.8,3,0.1442,0.812
893,tool_insert,pi0.5,successful,350,17.5,3,0.1714,0.803
894,tool_insert,pi0.5,failure,236,11.8,2,0.1695,0.869
895,tool_insert,pi0.5,successful,304,15.2,3,0.1974,0.816
896,tool_insert,pi0.5,suboptimal,644,32.2,3,0.0932,0.916
897,tool_insert,pi0.5,failure,642,32.1,4,0.1246,0.84
898,tool_insert,pi0.5,failure,553,27.6,6,0.217,0.727
899,tool_insert,pi0.5,successful,280,14.0,3,0.2143,0.764
900,tool_insert,pi0.5,failure,647,32.4,4,0.1236,0.898
901,tool_insert,pi0.5,failure,651,32.5,3,0.0922,0.922
902,tool_insert,pi0.5,successful,296,14.8,3,0.2027,0.828
903,tool_insert,pi0.5,successful,358,17.9,3,0.1676,0.813
904,tool_insert,pi0.5,failure,660,33.0,2,0.0606,0.971
905,tool_insert,pi0.5,successful,300,15.0,4,0.2667,0.757
906,tool_insert,pi0.5,failure,218,10.9,3,0.2752,0.725
907,tool_insert,pi0.5,failure,667,33.4,3,0.09,0.894
908,tool_insert,pi0.5,successful,280,14.0,3,0.2143,0.818
909,tool_insert,pi0.5,successful,240,12.0,3,0.25,0.792
910,tool_insert,teleoperated,successful,608,30.4,3,0.0987,0.344
911,tool_insert,teleoperated,successful,464,23.2,3,0.1293,0.455
912,tool_insert,teleoperated,successful,643,32.1,4,0.1244,0.467
913,tool_insert,teleoperated,successful,394,19.7,3,0.1523,0.893
914,tool_insert,teleoperated,successful,404,20.2,4,0.198,0.817
915,tool_insert,teleoperated,successful,648,32.4,4,0.1235,0.715
916,tool_insert,teleoperated,successful,423,21.1,3,0.1418,0.868
917,tool_insert,teleoperated,successful,384,19.2,3,0.1562,0.721
918,tool_insert,teleoperated,successful,512,25.6,4,0.1562,0.83
919,tool_insert,teleoperated,successful,419,20.9,3,0.1432,0.797
920,tool_insert,teleoperated,successful,505,25.2,3,0.1188,0.84
921,tool_insert,teleoperated,successful,492,24.6,4,0.1626,0.841
922,tool_insert,teleoperated,successful,463,23.1,3,0.1296,0.706
923,tool_insert,teleoperated,successful,428,21.4,3,0.1402,0.699
924,tool_insert,teleoperated,successful,414,20.7,4,0.1932,0.758
925,tool_insert,teleoperated,successful,387,19.4,3,0.155,0.835
926,tool_insert,teleoperated,successful,507,25.4,3,0.1183,0.771
927,tool_insert,teleoperated,successful,382,19.1,4,0.2094,0.772
928,tool_insert,teleoperated,successful,366,18.3,3,0.1639,0.798
929,tool_insert,teleoperated,successful,309,15.4,3,0.1942,0.712
930,tool_insert,teleoperated,successful,352,17.6,3,0.1705,0.651
931,tool_insert,teleoperated,successful,436,21.8,4,0.1835,0.86
932,tool_insert,teleoperated,successful,417,20.9,4,0.1918,0.813
933,tool_insert,teleoperated,successful,660,33.0,3,0.0909,0.858
934,tool_insert,teleoperated,successful,629,31.4,5,0.159,0.87
935,tool_insert,teleoperated,successful,422,21.1,3,0.1422,0.81
936,tool_insert,teleoperated,successful,359,17.9,4,0.2228,0.772
937,tool_insert,teleoperated,successful,438,21.9,3,0.137,0.824
938,tool_insert,teleoperated,successful,309,15.4,1,0.0647,1.0
939,tool_insert,teleoperated,successful,633,31.6,6,0.1896,0.741
940,tool_insert,teleoperated,successful,690,34.5,6,0.1739,0.786
941,tool_insert,teleoperated,successful,327,16.4,4,0.2446,0.78
942,tool_insert,teleoperated,successful,291,14.6,3,0.2062,0.739
943,tool_insert,teleoperated,successful,340,17.0,3,0.1765,0.812
944,tool_insert,teleoperated,successful,336,16.8,3,0.1786,0.884
945,tool_insert,teleoperated,successful,271,13.6,3,0.2214,0.804
946,tool_insert,teleoperated,successful,350,17.5,2,0.1143,0.9
947,tool_insert,teleoperated,successful,309,15.4,3,0.1942,0.806
948,tool_insert,teleoperated,successful,309,15.4,3,0.1942,0.841
949,tool_insert,teleoperated,successful,285,14.2,3,0.2105,0.761
950,tool_insert,teleoperated,successful,282,14.1,3,0.2128,0.826
951,tool_insert,teleoperated,successful,382,19.1,3,0.1571,0.851
952,tool_insert,teleoperated,successful,278,13.9,3,0.2158,0.77
953,tool_insert,teleoperated,successful,323,16.1,3,0.1858,0.839
954,tool_insert,teleoperated,successful,364,18.2,3,0.1648,0.753
955,tool_insert,teleoperated,successful,377,18.9,3,0.1592,0.806
956,tool_insert,teleoperated,successful,329,16.4,3,0.1824,0.842
957,tool_insert,teleoperated,successful,338,16.9,3,0.1775,0.793
958,tool_insert,teleoperated,successful,478,23.9,3,0.1255,0.845
959,tool_insert,teleoperated,successful,340,17.0,3,0.1765,0.85
960,tool_removal,diffusion,failure,359,17.9,5,0.2786,0.49
961,tool_removal,diffusion,failure,654,32.7,10,0.3058,0.528
962,tool_removal,diffusion,failure,640,32.0,10,0.3125,0.628
963,tool_removal,diffusion,successful,340,17.0,5,0.2941,0.635
964,tool_removal,diffusion,successful,484,24.2,7,0.2893,0.64
965,tool_removal,diffusion,successful,380,19.0,6,0.3158,0.642
966,tool_removal,diffusion,successful,460,23.0,7,0.3043,0.65
967,tool_removal,diffusion,failure,664,33.2,13,0.3916,0.599
968,tool_removal,diffusion,successful,480,24.0,7,0.2917,0.665
969,tool_removal,diffusion,failure,662,33.1,10,0.3021,0.594
970,tool_removal,diffusion,successful,404,20.2,6,0.297,0.775
971,tool_removal,diffusion,failure,635,31.8,9,0.2835,0.682
972,tool_removal,diffusion,successful,440,22.0,7,0.3182,0.632
973,tool_removal,diffusion,successful,389,19.4,6,0.3085,0.763
974,tool_removal,diffusion,successful,629,31.4,9,0.2862,0.653
975,tool_removal,diffusion,failure,628,31.4,9,0.2866,0.634
976,tool_removal,diffusion,failure,657,32.9,11,0.3349,0.511
977,tool_removal,diffusion,successful,480,24.0,7,0.2917,0.708
978,tool_removal,diffusion,failure,668,33.4,11,0.3293,0.521
979,tool_removal,diffusion,successful,257,12.8,3,0.2335,0.763
980,tool_removal,diffusion,successful,296,14.8,4,0.2703,0.75
981,tool_removal,diffusion,successful,200,10.0,3,0.3,0.78
982,tool_removal,diffusion,failure,642,32.1,9,0.2804,0.629
983,tool_removal,diffusion,successful,332,16.6,5,0.3012,0.696
984,tool_removal,diffusion,successful,225,11.2,3,0.2667,0.791
985,tool_removal,diffusion,successful,243,12.2,4,0.3292,0.733
986,tool_removal,diffusion,successful,300,15.0,5,0.3333,0.707
987,tool_removal,diffusion,successful,360,18.0,5,0.2778,0.736
988,tool_removal,diffusion,successful,385,19.2,6,0.3117,0.795
989,tool_removal,diffusion,failure,637,31.9,8,0.2512,0.645
990,tool_removal,act,failure,647,32.4,18,0.5564,0.434
991,tool_removal,act,failure,531,26.6,12,0.452,0.32
992,tool_removal,act,failure,500,25.0,12,0.48,0.386
993,tool_removal,act,failure,505,25.2,11,0.4356,0.436
994,tool_removal,act,failure,289,14.4,6,0.4152,0.581
995,tool_removal,act,failure,512,25.6,12,0.4688,0.512
996,tool_removal,act,failure,679,34.0,10,0.2946,0.638
997,tool_removal,act,successful,359,17.9,5,0.2786,0.747
998,tool_removal,act,failure,665,33.2,13,0.391,0.621
999,tool_removal,act,failure,682,34.1,13,0.3812,0.493
1000,tool_removal,act,failure,667,33.4,15,0.4498,0.508
1001,tool_removal,act,failure,665,33.2,16,0.4812,0.457
1002,tool_removal,act,failure,673,33.6,17,0.5052,0.452
1003,tool_removal,act,failure,660,33.0,17,0.5152,0.494
1004,tool_removal,act,failure,669,33.5,14,0.4185,0.607
1005,tool_removal,act,failure,670,33.5,18,0.5373,0.487
1006,tool_removal,act,failure,659,33.0,15,0.4552,0.467
1007,tool_removal,act,successful,200,10.0,3,0.3,0.785
1008,tool_removal,act,successful,240,12.0,4,0.3333,0.742
1009,tool_removal,act,successful,340,17.0,4,0.2353,0.841
1010,tool_removal,act,failure,697,34.9,17,0.4878,0.436
1011,tool_removal,act,successful,282,14.1,5,0.3546,0.794
1012,tool_removal,act,failure,681,34.0,13,0.3818,0.391
1013,tool_removal,act,failure,659,33.0,12,0.3642,0.693
1014,tool_removal,act,successful,290,14.5,4,0.2759,0.714
1015,tool_removal,act,failure,681,34.0,12,0.3524,0.426
1016,tool_removal,act,failure,662,33.1,13,0.3927,0.367
1017,tool_removal,act,successful,310,15.5,5,0.3226,0.816
1018,tool_removal,act,successful,540,27.0,8,0.2963,0.746
1019,tool_removal,act,failure,668,33.4,10,0.2994,0.35
1020,tool_removal,smolvla,failure,735,36.8,8,0.2177,0.698
1021,tool_removal,smolvla,successful,216,10.8,3,0.2778,0.801
1022,tool_removal,smolvla,failure,702,35.1,10,0.2849,0.695
1023,tool_removal,smolvla,failure,693,34.6,10,0.2886,0.638
1024,tool_removal,smolvla,failure,726,36.3,14,0.3857,0.562
1025,tool_removal,smolvla,failure,723,36.1,11,0.3043,0.61
1026,tool_removal,smolvla,failure,714,35.7,12,0.3361,0.606
1027,tool_removal,smolvla,failure,737,36.9,15,0.4071,0.62
1028,tool_removal,smolvla,failure,728,36.4,10,0.2747,0.628
1029,tool_removal,smolvla,failure,725,36.2,12,0.331,0.6
1030,tool_removal,smolvla,failure,719,36.0,12,0.3338,0.633
1031,tool_removal,smolvla,failure,723,36.1,12,0.332,0.578
1032,tool_removal,smolvla,failure,735,36.8,14,0.381,0.615
1033,tool_removal,smolvla,failure,716,35.8,14,0.3911,0.589
1034,tool_removal,smolvla,failure,739,37.0,15,0.406,0.575
1035,tool_removal,smolvla,suboptimal,725,36.2,12,0.331,0.606
1036,tool_removal,smolvla,failure,702,35.1,10,0.2849,0.645
1037,tool_removal,smolvla,failure,708,35.4,10,0.2825,0.644
1038,tool_removal,smolvla,failure,647,32.4,9,0.2782,0.689
1039,tool_removal,smolvla,failure,729,36.5,11,0.3018,0.687
1040,tool_removal,smolvla,failure,743,37.1,14,0.3769,0.629
1041,tool_removal,smolvla,failure,748,37.4,13,0.3476,0.634
1042,tool_removal,smolvla,failure,733,36.6,12,0.3274,0.64
1043,tool_removal,smolvla,failure,764,38.2,14,0.3665,0.613
1044,tool_removal,smolvla,failure,761,38.0,11,0.2891,0.635
1045,tool_removal,smolvla,failure,747,37.4,12,0.3213,0.613
1046,tool_removal,smolvla,failure,714,35.7,10,0.2801,0.66
1047,tool_removal,smolvla,failure,733,36.6,11,0.3001,0.614
1048,tool_removal,smolvla,failure,750,37.5,13,0.3467,0.613
1049,tool_removal,smolvla,failure,737,36.9,13,0.3528,0.594
1050,tool_removal,molmoact2,failure,497,24.9,12,0.4829,0.408
1051,tool_removal,molmoact2,successful,400,20.0,5,0.25,0.492
1052,tool_removal,molmoact2,failure,538,26.9,9,0.3346,0.506
1053,tool_removal,molmoact2,failure,514,25.7,7,0.2724,0.502
1054,tool_removal,molmoact2,failure,523,26.1,7,0.2677,0.509
1055,tool_removal,molmoact2,successful,356,17.8,5,0.2809,0.497
1056,tool_removal,molmoact2,failure,532,26.6,13,0.4887,0.609
1057,tool_removal,molmoact2,failure,527,26.4,10,0.3795,0.546
1058,tool_removal,molmoact2,failure,547,27.4,11,0.4022,0.627
1059,tool_removal,molmoact2,successful,510,25.5,8,0.3137,0.616
1060,tool_removal,molmoact2,suboptimal,500,25.0,5,0.2,0.752
1061,tool_removal,molmoact2,failure,543,27.1,9,0.3315,0.486
1062,tool_removal,molmoact2,successful,250,12.5,3,0.24,0.788
1063,tool_removal,molmoact2,failure,518,25.9,13,0.5019,0.508
1064,tool_removal,molmoact2,failure,510,25.5,9,0.3529,0.616
1065,tool_removal,molmoact2,failure,519,25.9,10,0.3854,0.487
1066,tool_removal,molmoact2,successful,260,13.0,3,0.2308,0.808
1067,tool_removal,molmoact2,failure,520,26.0,5,0.1923,0.677
1068,tool_removal,molmoact2,suboptimal,511,25.6,9,0.3523,0.509
1069,tool_removal,molmoact2,failure,598,29.9,11,0.3679,0.6
1070,tool_removal,molmoact2,failure,538,26.9,8,0.2974,0.623
1071,tool_removal,molmoact2,failure,530,26.5,7,0.2642,0.455
1072,tool_removal,molmoact2,failure,544,27.2,10,0.3676,0.347
1073,tool_removal,molmoact2,failure,520,26.0,7,0.2692,0.467
1074,tool_removal,molmoact2,failure,535,26.8,13,0.486,0.406
1075,tool_removal,molmoact2,suboptimal,320,16.0,3,0.1875,0.847
1076,tool_removal,molmoact2,successful,250,12.5,4,0.32,0.804
1077,tool_removal,molmoact2,failure,515,25.8,11,0.4272,0.614
1078,tool_removal,molmoact2,failure,521,26.1,13,0.499,0.543
1079,tool_removal,molmoact2,failure,536,26.8,12,0.4478,0.369
1080,tool_removal,molmoact2,failure,551,27.6,17,0.6171,0.445
1081,tool_removal,molmoact2,failure,582,29.1,16,0.5498,0.356
1082,tool_removal,molmoact2,failure,580,29.0,16,0.5517,0.334
1083,tool_removal,molmoact2,failure,590,29.5,18,0.6102,0.473
1084,tool_removal,molmoact2,failure,562,28.1,13,0.4626,0.413
1085,tool_removal,molmoact2,failure,604,30.2,11,0.3642,0.548
1086,tool_removal,molmoact2,failure,581,29.1,17,0.5852,0.546
1087,tool_removal,molmoact2,failure,596,29.8,17,0.5705,0.327
1088,tool_removal,molmoact2,failure,574,28.7,13,0.453,0.556
1089,tool_removal,molmoact2,failure,544,27.2,16,0.5882,0.533
1090,tool_removal,molmoact2,failure,587,29.4,14,0.477,0.559
1091,tool_removal,molmoact2,failure,593,29.6,17,0.5734,0.327
1092,tool_removal,molmoact2,failure,581,29.1,17,0.5852,0.435
1093,tool_removal,molmoact2,failure,600,30.0,17,0.5667,0.348
1094,tool_removal,molmoact2,failure,571,28.6,17,0.5954,0.412
1095,tool_removal,molmoact2,failure,569,28.4,15,0.5272,0.569
1096,tool_removal,molmoact2,failure,586,29.3,9,0.3072,0.466
1097,tool_removal,molmoact2,failure,572,28.6,10,0.3497,0.512
1098,tool_removal,molmoact2,failure,575,28.8,13,0.4522,0.579
1099,tool_removal,molmoact2,failure,572,28.6,11,0.3846,0.495
1100,tool_removal,molmoact2,failure,571,28.6,9,0.3152,0.399
1101,tool_removal,molmoact2,failure,585,29.2,13,0.4444,0.491
1102,tool_removal,molmoact2,failure,566,28.3,12,0.424,0.29
1103,tool_removal,molmoact2,failure,574,28.7,13,0.453,0.538
1104,tool_removal,molmoact2,failure,550,27.5,12,0.4364,0.438
1105,tool_removal,molmoact2,failure,550,27.5,13,0.4727,0.42
1106,tool_removal,molmoact2,failure,551,27.6,11,0.3993,0.497
1107,tool_removal,molmoact2,failure,565,28.2,17,0.6018,0.508
1108,tool_removal,molmoact2,failure,523,26.1,10,0.3824,0.489
1109,tool_removal,molmoact2,failure,631,31.6,18,0.5705,0.39
1110,tool_removal,grootn1.7,failure,350,17.5,4,0.2286,0.709
1111,tool_removal,grootn1.7,successful,296,14.8,3,0.2027,0.774
1112,tool_removal,grootn1.7,successful,361,18.1,5,0.277,0.684
1113,tool_removal,grootn1.7,failure,356,17.8,6,0.3371,0.584
1114,tool_removal,grootn1.7,successful,260,13.0,4,0.3077,0.758
1115,tool_removal,grootn1.7,failure,344,17.2,3,0.1744,0.294
1116,tool_removal,grootn1.7,failure,353,17.6,5,0.2833,0.448
1117,tool_removal,grootn1.7,successful,353,17.6,8,0.4533,0.657
1118,tool_removal,grootn1.7,failure,353,17.6,2,0.1133,0.201
1119,tool_removal,grootn1.7,failure,361,18.1,6,0.3324,0.679
1120,tool_removal,grootn1.7,successful,230,11.5,3,0.2609,0.835
1121,tool_removal,grootn1.7,failure,349,17.4,5,0.2865,0.65
1122,tool_removal,grootn1.7,failure,342,17.1,4,0.2339,0.675
1123,tool_removal,grootn1.7,failure,353,17.6,6,0.3399,0.683
1124,tool_removal,grootn1.7,failure,350,17.5,10,0.5714,0.511
1125,tool_removal,grootn1.7,failure,351,17.6,4,0.2279,0.47
1126,tool_removal,grootn1.7,successful,310,15.5,4,0.2581,0.752
1127,tool_removal,grootn1.7,successful,280,14.0,4,0.2857,0.611
1128,tool_removal,grootn1.7,failure,362,18.1,5,0.2762,0.489
1129,tool_removal,grootn1.7,failure,354,17.7,6,0.339,0.48
1130,tool_removal,grootn1.7,suboptimal,357,17.9,6,0.3361,0.627
1131,tool_removal,grootn1.7,failure,353,17.6,5,0.2833,0.609
1132,tool_removal,grootn1.7,successful,316,15.8,4,0.2532,0.671
1133,tool_removal,grootn1.7,failure,345,17.2,6,0.3478,0.658
1134,tool_removal,grootn1.7,failure,347,17.4,6,0.3458,0.602
1135,tool_removal,grootn1.7,failure,351,17.6,5,0.2849,0.499
1136,tool_removal,grootn1.7,failure,337,16.9,7,0.4154,0.659
1137,tool_removal,grootn1.7,failure,358,17.9,6,0.3352,0.645
1138,tool_removal,grootn1.7,successful,260,13.0,3,0.2308,0.735
1139,tool_removal,grootn1.7,suboptimal,361,18.1,4,0.2216,0.474
1140,tool_removal,pi0,failure,664,33.2,13,0.3916,0.383
1141,tool_removal,pi0,successful,243,12.2,3,0.2469,0.79
1142,tool_removal,pi0,suboptimal,648,32.4,12,0.3704,0.465
1143,tool_removal,pi0,failure,621,31.1,10,0.3221,0.401
1144,tool_removal,pi0,failure,644,32.2,12,0.3727,0.427
1145,tool_removal,pi0,successful,210,10.5,3,0.2857,0.819
1146,tool_removal,pi0,failure,660,33.0,11,0.3333,0.347
1147,tool_removal,pi0,failure,643,32.1,13,0.4044,0.381
1148,tool_removal,pi0,failure,651,32.5,12,0.3687,0.404
1149,tool_removal,pi0,failure,648,32.4,13,0.4012,0.423
1150,tool_removal,pi0,failure,629,31.4,11,0.3498,0.3
1151,tool_removal,pi0,failure,629,31.4,9,0.2862,0.537
1152,tool_removal,pi0,failure,653,32.6,12,0.3675,0.363
1153,tool_removal,pi0,failure,635,31.8,12,0.378,0.461
1154,tool_removal,pi0,failure,644,32.2,12,0.3727,0.416
1155,tool_removal,pi0,failure,659,33.0,9,0.2731,0.513
1156,tool_removal,pi0,failure,649,32.5,12,0.3698,0.458
1157,tool_removal,pi0,failure,667,33.4,10,0.2999,0.615
1158,tool_removal,pi0,failure,665,33.2,10,0.3008,0.435
1159,tool_removal,pi0,failure,654,32.7,12,0.367,0.509
1160,tool_removal,pi0,failure,559,27.9,9,0.322,0.619
1161,tool_removal,pi0,failure,649,32.5,12,0.3698,0.471
1162,tool_removal,pi0,failure,641,32.0,11,0.3432,0.598
1163,tool_removal,pi0,successful,234,11.7,3,0.2564,0.808
1164,tool_removal,pi0,failure,643,32.1,11,0.3421,0.381
1165,tool_removal,pi0,failure,641,32.0,12,0.3744,0.321
1166,tool_removal,pi0,failure,653,32.6,14,0.4288,0.492
1167,tool_removal,pi0,failure,666,33.3,12,0.3604,0.488
1168,tool_removal,pi0,failure,607,30.4,11,0.3624,0.425
1169,tool_removal,pi0,failure,660,33.0,12,0.3636,0.361
1170,tool_removal,pi0.5,failure,640,32.0,11,0.3438,0.58
1171,tool_removal,pi0.5,successful,628,31.4,8,0.2548,0.742
1172,tool_removal,pi0.5,failure,646,32.3,12,0.3715,0.554
1173,tool_removal,pi0.5,failure,645,32.2,10,0.3101,0.597
1174,tool_removal,pi0.5,failure,637,31.9,14,0.4396,0.542
1175,tool_removal,pi0.5,successful,666,33.3,11,0.3303,0.638
1176,tool_removal,pi0.5,failure,666,33.3,12,0.3604,0.464
1177,tool_removal,pi0.5,failure,670,33.5,13,0.3881,0.342
1178,tool_removal,pi0.5,failure,651,32.5,10,0.3072,0.444
1179,tool_removal,pi0.5,failure,645,32.2,13,0.4031,0.474
1180,tool_removal,pi0.5,failure,641,32.0,12,0.3744,0.485
1181,tool_removal,pi0.5,failure,656,32.8,13,0.3963,0.506
1182,tool_removal,pi0.5,suboptimal,645,32.2,13,0.4031,0.541
1183,tool_removal,pi0.5,failure,662,33.1,11,0.3323,0.461
1184,tool_removal,pi0.5,successful,200,10.0,1,0.1,0.6
1185,tool_removal,pi0.5,failure,667,33.4,13,0.3898,0.496
1186,tool_removal,pi0.5,failure,654,32.7,10,0.3058,0.609
1187,tool_removal,pi0.5,failure,665,33.2,13,0.391,0.525
1188,tool_removal,pi0.5,failure,638,31.9,13,0.4075,0.616
1189,tool_removal,pi0.5,failure,656,32.8,12,0.3659,0.505
1190,tool_removal,pi0.5,failure,642,32.1,10,0.3115,0.609
1191,tool_removal,pi0.5,failure,660,33.0,12,0.3636,0.539
1192,tool_removal,pi0.5,successful,653,32.6,10,0.3063,0.649
1193,tool_removal,pi0.5,suboptimal,676,33.8,9,0.2663,0.599
1194,tool_removal,pi0.5,failure,661,33.0,14,0.4236,0.434
1195,tool_removal,pi0.5,failure,635,31.8,11,0.3465,0.565
1196,tool_removal,pi0.5,failure,626,31.3,11,0.3514,0.388
1197,tool_removal,pi0.5,failure,638,31.9,13,0.4075,0.522
1198,tool_removal,pi0.5,failure,662,33.1,12,0.3625,0.595
1199,tool_removal,pi0.5,failure,652,32.6,14,0.4294,0.532
1200,tool_removal,teleoperated,successful,389,19.4,5,0.2571,0.699
1201,tool_removal,teleoperated,successful,422,21.1,7,0.3318,0.659
1202,tool_removal,teleoperated,successful,714,35.7,9,0.2521,0.683
1203,tool_removal,teleoperated,successful,738,36.9,14,0.3794,0.608
1204,tool_removal,teleoperated,successful,739,37.0,11,0.2977,0.628
1205,tool_removal,teleoperated,successful,323,16.1,3,0.1858,0.83
1206,tool_removal,teleoperated,successful,309,15.4,5,0.3236,0.783
1207,tool_removal,teleoperated,successful,396,19.8,5,0.2525,0.636
1208,tool_removal,teleoperated,successful,272,13.6,3,0.2206,0.787
1209,tool_removal,teleoperated,successful,268,13.4,3,0.2239,0.81
1210,tool_removal,teleoperated,successful,435,21.8,6,0.2759,0.584
1211,tool_removal,teleoperated,successful,318,15.9,4,0.2516,0.805
1212,tool_removal,teleoperated,successful,485,24.2,7,0.2887,0.612
1213,tool_removal,teleoperated,successful,408,20.4,4,0.1961,0.578
1214,tool_removal,teleoperated,successful,279,13.9,3,0.2151,0.849
1215,tool_removal,teleoperated,successful,268,13.4,4,0.2985,0.765
1216,tool_removal,teleoperated,successful,386,19.3,6,0.3109,0.661
1217,tool_removal,teleoperated,successful,268,13.4,4,0.2985,0.716
1218,tool_removal,teleoperated,successful,474,23.7,8,0.3376,0.616
1219,tool_removal,teleoperated,successful,216,10.8,3,0.2778,0.773
1220,tool_removal,teleoperated,successful,220,11.0,4,0.3636,0.668
1221,tool_removal,teleoperated,successful,214,10.7,4,0.3738,0.752
1222,tool_removal,teleoperated,successful,232,11.6,4,0.3448,0.681
1223,tool_removal,teleoperated,successful,199,9.9,3,0.3015,0.724
1224,tool_removal,teleoperated,successful,203,10.2,3,0.2956,0.719
1225,tool_removal,teleoperated,successful,259,12.9,4,0.3089,0.741
1226,tool_removal,teleoperated,successful,669,33.5,10,0.299,0.575
1227,tool_removal,teleoperated,successful,241,12.1,2,0.166,0.871
1228,tool_removal,teleoperated,successful,238,11.9,3,0.2521,0.811
1229,tool_removal,teleoperated,successful,267,13.3,3,0.2247,0.843
1230,tool_removal,teleoperated,successful,237,11.8,3,0.2532,0.814
1231,tool_removal,teleoperated,successful,283,14.2,3,0.212,0.731
1232,tool_removal,teleoperated,successful,314,15.7,4,0.2548,0.732
1233,tool_removal,teleoperated,successful,471,23.6,6,0.2548,0.643
1234,tool_removal,teleoperated,successful,314,15.7,4,0.2548,0.602
1235,tool_removal,teleoperated,successful,194,9.7,2,0.2062,0.84
1236,tool_removal,teleoperated,successful,221,11.1,3,0.2715,0.796
1237,tool_removal,teleoperated,successful,192,9.6,2,0.2083,0.786
1238,tool_removal,teleoperated,successful,207,10.3,2,0.1932,0.865
1239,tool_removal,teleoperated,successful,228,11.4,3,0.2632,0.825
1240,tool_removal,teleoperated,successful,351,17.6,4,0.2279,0.755
1241,tool_removal,teleoperated,successful,226,11.3,2,0.177,0.863
1242,tool_removal,teleoperated,successful,300,15.0,4,0.2667,0.767
1243,tool_removal,teleoperated,successful,217,10.8,3,0.2765,0.829
1244,tool_removal,teleoperated,successful,230,11.5,4,0.3478,0.757
1245,tool_removal,teleoperated,successful,209,10.4,2,0.1914,0.842
1246,tool_removal,teleoperated,successful,198,9.9,3,0.303,0.843
1247,tool_removal,teleoperated,successful,206,10.3,2,0.1942,0.83
1248,tool_removal,teleoperated,successful,239,11.9,3,0.251,0.866
1249,tool_removal,teleoperated,successful,272,13.6,3,0.2206,0.842
1250,eye_drops_to_shelf,diffusion,failure,417,20.9,6,0.2878,0.693
1251,eye_drops_to_shelf,diffusion,failure,422,21.1,4,0.1896,0.879
1252,eye_drops_to_shelf,diffusion,successful,320,16.0,4,0.25,0.794
1253,eye_drops_to_shelf,diffusion,failure,430,21.5,5,0.2326,0.805
1254,eye_drops_to_shelf,diffusion,failure,353,17.6,6,0.3399,0.734
1255,eye_drops_to_shelf,diffusion,successful,321,16.1,4,0.2492,0.776
1256,eye_drops_to_shelf,diffusion,successful,297,14.8,4,0.2694,0.761
1257,eye_drops_to_shelf,diffusion,failure,408,20.4,5,0.2451,0.674
1258,eye_drops_to_shelf,diffusion,failure,427,21.4,5,0.2342,0.745
1259,eye_drops_to_shelf,diffusion,failure,427,21.4,5,0.2342,0.824
